Test Case Number,Status,Type
1,Passed,Sum
2,Passed,Sum
3,Passed,Sum
4,Passed,Sum
5,Passed,Sum
6,Passed,Sum
7,Passed,Sum
8,Passed,Sum
9,Failed,Sum
10,Passed,Sum
11,Failed,Sum
12,Passed,Sum
13,Passed,Sum
14,Passed,Sum
15,Passed,Sum
16,Passed,Sum
17,Passed,Sum
18,Passed,Subtract
19,Failed,Subtract
20,Passed,Subtract
21,Passed,Subtract
22,Passed,Subtract
23,Failed,Subtract
24,Passed,Subtract
25,Passed,Subtract
26,Passed,Subtract
27,Passed,Subtract
28,Failed,Subtract
29,Passed,Subtract
30,Failed,Subtract
31,Passed,Subtract
32,Passed,Subtract
33,Passed,Subtract
34,Passed,Subtract
35,Passed,Subtract
36,Passed,Product
37,Passed,Product
38,Passed,Product
39,Failed,Product
40,Passed,Product
41,Passed,Product
42,Passed,Product
43,Passed,Product
44,Failed,Product
45,Passed,Product
46,Passed,Product
47,Passed,Product
48,Passed,Find Roots
49,Passed,Find Roots
50,Passed,Find Roots
51,Passed,Find Roots
52,Passed,Find Roots
53,Failed,Find Roots
54,Passed,Find Roots
55,Passed,Find Roots
56,Passed,Find Roots
57,Passed,Find Roots
58,Passed,Find Roots
59,Passed,Find Roots
60,Passed,Find Roots
61,Passed,Find Roots
62,Passed,Find Roots
63,Passed,Find Roots
64,Passed,Find the degree
65,Passed,Find the degree
66,Passed,Find the degree
67,Passed,Find the degree
68,Passed,Find the degree
69,Passed,Find the degree
70,Passed,Find the degree
71,Passed,Find the degree
72,Passed,Find the degree
73,Passed,Find the degree
74,Passed,Find the degree
75,Failed,Find the degree
76,Passed,Find the degree
77,Passed,Find the degree
78,Passed,Find the degree
79,Passed,Find the degree
80,Passed,Find the degree
81,Passed,Find the degree
82,Passed,Differentiation
83,Failed,Differentiation
84,Failed,Differentiation
85,Passed,Differentiation
86,Failed,Differentiation
87,Passed,Differentiation
88,Passed,Differentiation
89,Passed,Differentiation
90,Passed,Differentiation
91,Failed,Differentiation
92,Passed,Differentiation
93,Failed,Differentiation
94,Passed,Differentiation
95,Passed,Differentiation
96,Passed,Differentiation
97,Passed,Differentiation
98,Failed,Differentiation
99,Failed,Differentiation
100,Passed,Differentiation
