Test Case Number,Status,Type
1,Passed,Sum
2,Passed,Sum
3,Passed,Sum
4,Passed,Sum
5,Passed,Sum
6,Passed,Sum
7,Passed,Sum
8,Passed,Sum
9,Passed,Sum
10,Passed,Sum
11,Passed,Sum
12,Passed,Sum
13,Passed,Sum
14,Passed,Sum
15,Passed,Sum
16,Passed,Sum
17,Passed,Sum
18,Passed,Subtract
19,Passed,Subtract
20,Passed,Subtract
21,Passed,Subtract
22,Passed,Subtract
23,Passed,Subtract
24,Passed,Subtract
25,Passed,Subtract
26,Passed,Subtract
27,Passed,Subtract
28,Passed,Subtract
29,Passed,Subtract
30,Passed,Subtract
31,Passed,Subtract
32,Passed,Subtract
33,Passed,Subtract
34,Passed,Subtract
35,Passed,Subtract
36,Passed,Product
37,Passed,Product
38,Passed,Product
39,Failed,Product
40,Passed,Product
41,Passed,Product
42,Passed,Product
43,Passed,Product
44,Passed,Product
45,Passed,Product
46,Passed,Product
47,Passed,Product
48,Passed,Find Roots
49,Failed,Find Roots
50,Failed,Find Roots
51,Failed,Find Roots
52,Failed,Find Roots
53,Failed,Find Roots
54,Failed,Find Roots
55,Failed,Find Roots
56,Passed,Find Roots
57,Failed,Find Roots
58,Failed,Find Roots
59,Failed,Find Roots
60,Failed,Find Roots
61,Failed,Find Roots
62,Failed,Find Roots
63,Failed,Find Roots
64,Passed,Find the degree
65,Passed,Find the degree
66,Passed,Find the degree
67,Passed,Find the degree
68,Passed,Find the degree
69,Passed,Find the degree
70,Passed,Find the degree
71,Passed,Find the degree
72,Passed,Find the degree
73,Passed,Find the degree
74,Passed,Find the degree
75,Passed,Find the degree
76,Passed,Find the degree
77,Passed,Find the degree
78,Passed,Find the degree
79,Passed,Find the degree
80,Passed,Find the degree
81,Passed,Find the degree
82,Passed,Differentiation
83,Passed,Differentiation
84,Passed,Differentiation
85,Passed,Differentiation
86,Passed,Differentiation
87,Passed,Differentiation
88,Passed,Differentiation
89,Passed,Differentiation
90,Passed,Differentiation
91,Passed,Differentiation
92,Passed,Differentiation
93,Passed,Differentiation
94,Passed,Differentiation
95,Passed,Differentiation
96,Passed,Differentiation
97,Passed,Differentiation
98,Passed,Differentiation
99,Passed,Differentiation
100,Passed,Differentiation
